item_id,item_name,available_at,feature_practical,feature_creative,feature_premium,feature_social,feature_learning,feature_wellbeing,feature_adventure,feature_calm
ITEM-001,Fictional selection 001,2025-01-01T00:00:00+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
ITEM-002,Fictional selection 002,2025-01-01T00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0
ITEM-003,Fictional selection 003,2025-01-01T00:00:00+00:00,0.0,0.0,1.0,0.0,0.45,0.0,0.0,0.0
ITEM-004,Fictional selection 004,2025-01-01T00:00:00+00:00,0.45,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ITEM-005,Fictional selection 005,2025-01-01T00:00:00+00:00,0.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ITEM-006,Fictional selection 006,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.0
ITEM-007,Fictional selection 007,2025-01-01T00:00:00+00:00,0.0,0.0,0.45,0.0,0.0,0.0,1.0,0.0
ITEM-008,Fictional selection 008,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.0
ITEM-009,Fictional selection 009,2025-01-01T00:00:00+00:00,1.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0
ITEM-010,Fictional selection 010,2025-01-01T00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.45,0.0,0.0
ITEM-011,Fictional selection 011,2025-01-01T00:00:00+00:00,0.0,0.0,1.0,0.45,0.0,0.0,0.0,0.0
ITEM-012,Fictional selection 012,2025-01-01T00:00:00+00:00,0.0,0.0,0.45,1.0,0.0,0.0,0.0,0.0
ITEM-013,Fictional selection 013,2025-01-01T00:00:00+00:00,0.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ITEM-014,Fictional selection 014,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.45,1.0,0.0,0.0
ITEM-015,Fictional selection 015,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.45,0.0,1.0,0.0
ITEM-016,Fictional selection 016,2025-01-01T00:00:00+00:00,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ITEM-017,Fictional selection 017,2025-01-01T00:00:00+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
ITEM-018,Fictional selection 018,2025-01-01T00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45
ITEM-019,Fictional selection 019,2025-01-01T00:00:00+00:00,0.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ITEM-020,Fictional selection 020,2025-01-01T00:00:00+00:00,0.0,0.45,0.0,1.0,0.0,0.0,0.0,0.0
ITEM-021,Fictional selection 021,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.45,1.0,0.0,0.0,0.0
ITEM-022,Fictional selection 022,2025-01-01T00:00:00+00:00,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0
ITEM-023,Fictional selection 023,2025-01-01T00:00:00+00:00,0.0,0.45,0.0,0.0,0.0,0.0,1.0,0.0
ITEM-024,Fictional selection 024,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.45,0.0,1.0
ITEM-025,Fictional selection 025,2025-01-01T00:00:00+00:00,1.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
ITEM-026,Fictional selection 026,2025-01-01T00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45
ITEM-027,Fictional selection 027,2025-01-01T00:00:00+00:00,0.0,0.0,1.0,0.45,0.0,0.0,0.0,0.0
ITEM-028,Fictional selection 028,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45
ITEM-029,Fictional selection 029,2025-01-01T00:00:00+00:00,0.0,0.0,0.45,0.0,1.0,0.0,0.0,0.0
ITEM-030,Fictional selection 030,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.0
ITEM-031,Fictional selection 031,2025-01-01T00:00:00+00:00,0.0,0.45,0.0,0.0,0.0,0.0,1.0,0.0
ITEM-032,Fictional selection 032,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.0
ITEM-033,Fictional selection 033,2025-01-01T00:00:00+00:00,1.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
ITEM-034,Fictional selection 034,2025-01-01T00:00:00+00:00,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ITEM-035,Fictional selection 035,2025-01-01T00:00:00+00:00,0.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0
ITEM-036,Fictional selection 036,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,1.0,0.45,0.0,0.0,0.0
ITEM-037,Fictional selection 037,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45
ITEM-038,Fictional selection 038,2025-01-01T00:00:00+00:00,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0
ITEM-039,Fictional selection 039,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.45,1.0,0.0
ITEM-040,Fictional selection 040,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.45,0.0,1.0
ITEM-041,Fictional selection 041,2025-01-01T00:00:00+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
ITEM-042,Fictional selection 042,2025-01-01T00:00:00+00:00,0.0,1.0,0.45,0.0,0.0,0.0,0.0,0.0
ITEM-043,Fictional selection 043,2025-01-01T00:00:00+00:00,0.0,0.0,1.0,0.45,0.0,0.0,0.0,0.0
ITEM-044,Fictional selection 044,2025-01-01T00:00:00+00:00,0.45,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ITEM-045,Fictional selection 045,2025-01-01T00:00:00+00:00,0.0,0.45,0.0,0.0,1.0,0.0,0.0,0.0
ITEM-046,Fictional selection 046,2025-01-01T00:00:00+00:00,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ITEM-047,Fictional selection 047,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.0,0.45,0.0,1.0,0.0
ITEM-048,Fictional selection 048,2025-01-01T00:00:00+00:00,0.0,0.0,0.45,0.0,0.0,0.0,0.0,1.0
ITEM-049,Fictional selection 049,2025-01-01T00:00:00+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
ITEM-050,Fictional selection 050,2025-01-01T00:00:00+00:00,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ITEM-051,Fictional selection 051,2025-01-01T00:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45
ITEM-052,Fictional selection 052,2025-01-01T00:00:00+00:00,0.0,0.0,0.45,1.0,0.0,0.0,0.0,0.0
ITEM-053,Fictional selection 053,2025-01-01T00:00:00+00:00,0.0,0.0,0.0,0.45,1.0,0.0,0.0,0.0
